id,mod_id,courseID,mod_type,name,order,childOrder,treelevel,chpModPar,seqModPar,vrtModPar,Framing ,Social ,LO.1,LO.2,LO.3,LO.4,LO.6,LO.7,LO.8,LO.9
block-v1:MITxPRO+AMxB+1T2018+type@course+block@course,course,MITxPRO+AMxB+1T2018,course,Additive Manufacturing for Innovative Design and Production,1,0,0,,,,1,1,1,1,1,1,1,1,1,1
block-v1:MITxPRO+AMxB+1T2018+type@chapter+block@b9dd2cb6d3a44e96aedb515388e02405,b9dd2cb6d3a44e96aedb515388e02405,MITxPRO+AMxB+1T2018,chapter,"Entrance Survey (5 min, required)",2,1,1,b9dd2cb6d3a44e96aedb515388e02405,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA
block-v1:MITxPRO+AMxB+1T2018+type@sequential+block@5589ca87f02147ec8452cead30cc4d5f,5589ca87f02147ec8452cead30cc4d5f,MITxPRO+AMxB+1T2018,sequential,"Entrance Survey (5 min, required)",3,1,2,b9dd2cb6d3a44e96aedb515388e02405,5589ca87f02147ec8452cead30cc4d5f,,0,0,NA,NA,NA,NA,NA,NA,NA,NA
block-v1:MITxPRO+AMxB+1T2018+type@vertical+block@57c4192d1f714350848b1424ce840c75,57c4192d1f714350848b1424ce840c75,MITxPRO+AMxB+1T2018,vertical,Entrance Survey,4,1,3,b9dd2cb6d3a44e96aedb515388e02405,5589ca87f02147ec8452cead30cc4d5f,57c4192d1f714350848b1424ce840c75,0,0,NA,NA,NA,NA,NA,NA,NA,NA
block-v1:MITxPRO+AMxB+1T2018+type@html+block@401ee1f6f3684be7b6124490f34adc5a,401ee1f6f3684be7b6124490f34adc5a,MITxPRO+AMxB+1T2018,html,,5,1,4,b9dd2cb6d3a44e96aedb515388e02405,5589ca87f02147ec8452cead30cc4d5f,57c4192d1f714350848b1424ce840c75,0,0,NA,NA,NA,NA,NA,NA,NA,NA
block-v1:MITxPRO+AMxB+1T2018+type@chapter+block@3237e864a8b44a14b443a0f0a2067c83,3237e864a8b44a14b443a0f0a2067c83,MITxPRO+AMxB+1T2018,chapter,"Pre-Assessment (10 min, required)",6,2,1,3237e864a8b44a14b443a0f0a2067c83,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA
block-v1:MITxPRO+AMxB+1T2018+type@sequential+block@a43d4c2220e245c5bb6ef4649f6813e5,a43d4c2220e245c5bb6ef4649f6813e5,MITxPRO+AMxB+1T2018,sequential,"Pre-Assessment (10 min, required)",7,1,2,3237e864a8b44a14b443a0f0a2067c83,a43d4c2220e245c5bb6ef4649f6813e5,,0,0,NA,NA,NA,NA,NA,NA,NA,NA
block-v1:MITxPRO+AMxB+1T2018+type@vertical+block@723e01f988ce423a9e517f0fc55c8c4f,723e01f988ce423a9e517f0fc55c8c4f,MITxPRO+AMxB+1T2018,vertical,Pre-Assessment,8,1,3,3237e864a8b44a14b443a0f0a2067c83,a43d4c2220e245c5bb6ef4649f6813e5,723e01f988ce423a9e517f0fc55c8c4f,0,0,NA,NA,NA,NA,NA,NA,NA,NA
block-v1:MITxPRO+AMxB+1T2018+type@html+block@27bf430c96cb4d8da7368c4697de187b,27bf430c96cb4d8da7368c4697de187b,MITxPRO+AMxB+1T2018,html,,9,1,4,3237e864a8b44a14b443a0f0a2067c83,a43d4c2220e245c5bb6ef4649f6813e5,723e01f988ce423a9e517f0fc55c8c4f,0,0,NA,NA,NA,NA,NA,NA,NA,NA
block-v1:MITxPRO+AMxB+1T2018+type@html+block@0fec97a46b71456d9d9037e5edac7bb0,0fec97a46b71456d9d9037e5edac7bb0,MITxPRO+AMxB+1T2018,html,,10,2,4,3237e864a8b44a14b443a0f0a2067c83,a43d4c2220e245c5bb6ef4649f6813e5,723e01f988ce423a9e517f0fc55c8c4f,0,0,NA,NA,NA,NA,NA,NA,NA,NA
block-v1:MITxPRO+AMxB+1T2018+type@vertical+block@9546e9f7f20c4bf2b09c7c839fd67571,9546e9f7f20c4bf2b09c7c839fd67571,MITxPRO+AMxB+1T2018,vertical,Pre-Assessment Completion Confirmation,11,2,3,3237e864a8b44a14b443a0f0a2067c83,a43d4c2220e245c5bb6ef4649f6813e5,9546e9f7f20c4bf2b09c7c839fd67571,0,0,NA,NA,NA,NA,NA,NA,NA,NA
block-v1:MITxPRO+AMxB+1T2018+type@problem+block@9b9fc7fd30954d7d9ad7d8f8e1cc11d8,9b9fc7fd30954d7d9ad7d8f8e1cc11d8,MITxPRO+AMxB+1T2018,problem,Confirmation,12,1,4,3237e864a8b44a14b443a0f0a2067c83,a43d4c2220e245c5bb6ef4649f6813e5,9546e9f7f20c4bf2b09c7c839fd67571,0,0,NA,NA,NA,NA,NA,NA,NA,NA
